127.0.0.1 - - [12/Mar/2020:22:47:10 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:48:14 +0800] "POST /sj/test4 HTTP/1.1" 200 127390
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:48:52 +0800] "GET /sj/TrafficLive.jsp HTTP/1.1" 200 11582
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:48:52 +0800] "GET /sj/css/trafficeLive.css HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:48:52 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:48:52 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:48:52 +0800] "GET /sj/img/1.png HTTP/1.1" 200 13719
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:04 +0800] "POST /sj/test1 HTTP/1.1" 200 9531
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:04 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:04 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:16 +0800] "POST /sj/test2 HTTP/1.1" 200 14811
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:16 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:16 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:44 +0800] "GET /sj/TrafficLive.jsp HTTP/1.1" 200 11582
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:44 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:44 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:46 +0800] "POST /sj/test6 HTTP/1.1" 200 10192
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:46 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:46 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:52 +0800] "GET /sj/TrafficLive.jsp HTTP/1.1" 200 11582
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:52 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:52 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:55 +0800] "GET /sj/test5.jsp HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:55 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:49:55 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:50:09 +0800] "GET /sj/TrafficLive.jsp HTTP/1.1" 200 11582
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:50:09 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [12/Mar/2020:22:50:10 +0800] "GET /sj/js/source/online.js HTTP/1.1" 404 713
